[2025-10-27 11:05:23] [INFO] scene is QUCTc6BB5sX  , episodeid is 9411
[2025-10-27 11:05:24] [INFO] take action sac model 1, take action hybird model 1 ,reward -1.01 , step 0 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 4 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 5 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 6 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 7 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 8 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 9 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 10 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 11 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 12 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 13 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 14 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 15 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 16 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 17 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 18 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 19 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 20 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 21 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 22 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 23 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 24 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 25 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 26 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 27 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 28 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 2, take action hybird model 1 ,reward -0.01 , step 29 , done False , is collided False
[2025-10-27 11:05:37] [INFO] take action sac model 3, take action hybird model 3 ,reward -0.01 , step 30 , done False , is collided False
